Rank,Stadium,Capacity,City,State,Year.opened,Type,Tenant,Link
152,Navy–Marine Corps Memorial Stadium,"34,000",Annapolis,Maryland,1959,Football,"Navy Midshipmen, Chesapeake Bayhawks",https://en.wikipedia.org/wiki/Navy%E2%80%93Marine_Corps_Memorial_Stadium
153,Wallace Wade Stadium,"33,941",Durham,North Carolina,1929,Football,Duke Blue Devils,https://en.wikipedia.org/wiki/Wallace_Wade_Stadium
154,Jonah Field at War Memorial Stadium,"32,580",Laramie,Wyoming,1950,Football,Wyoming Cowboys,https://en.wikipedia.org/wiki/War_Memorial_Stadium_(Wyoming)
155,Gerald J. Ford Stadium,"32,000",University Park,Texas,2000,Football,SMU Mustangs,https://en.wikipedia.org/wiki/Gerald_J._Ford_Stadium
157,BB&T Field at Groves Stadium,"31,500",Winston-Salem,North Carolina,1968,Football,Wake Forest Demon Deacons,https://en.wikipedia.org/wiki/BB%26T_Field
158,Cajun Field,"31,000",Lafayette,Louisiana,1971,Football,Louisiana–Lafayette Ragin' Cajuns,https://en.wikipedia.org/wiki/Cajun_Field
159,Rubber Bowl,"31,000",Akron,Ohio,1940,Football,local high school teams,https://en.wikipedia.org/wiki/Rubber_Bowl
160,Brigham Field at Huskie Stadium,"31,000",DeKalb,Illinois,1965,Football,Northern Illinois Huskies,https://en.wikipedia.org/wiki/Huskie_Stadium
161,ASU Stadium,"30,964",Jonesboro,Arkansas,1974,Football,Arkansas State Red Wolves,https://en.wikipedia.org/wiki/ASU_Stadium
162,Apogee Stadium,"30,850",Denton,Texas,2011,Football,North Texas Mean Green,https://en.wikipedia.org/wiki/Apogee_Stadium
163,Joe Aillet Stadium,"30,600",Ruston,Louisiana,1960,Football,Louisiana Tech Bulldogs,https://en.wikipedia.org/wiki/Joe_Aillet_Stadium
164,CEFCU Stadium,"30,456",San Jose,California,1933,Football,San Jose State Spartans,https://en.wikipedia.org/wiki/CEFCU_Stadium
165,Malone Stadium,"30,427",Monroe,Louisiana,1978,Football,Louisiana–Monroe Warhawks,https://en.wikipedia.org/wiki/Malone_Stadium
166,Aggie Memorial Stadium,"30,343",Las Cruces,New Mexico,1978,Football,New Mexico State Aggies,https://en.wikipedia.org/wiki/Aggie_Memorial_Stadium
167,Harvard Stadium,"30,323",Allston,Massachusetts,1903,Football,"Harvard Crimson, Boston Cannons",https://en.wikipedia.org/wiki/Harvard_Stadium
168,Kelly/Shorts Stadium,"30,295",Mount Pleasant,Michigan,1972,Football,Central Michigan Chippewas,https://en.wikipedia.org/wiki/Kelly/Shorts_Stadium
169,Rynearson Stadium,"30,200",Ypsilanti,Michigan,1969,Football,Eastern Michigan Eagles,https://en.wikipedia.org/wiki/Rynearson_Stadium
170,Waldo Stadium,"30,200",Kalamazoo,Michigan,1939,Football,Western Michigan Broncos,https://en.wikipedia.org/wiki/Waldo_Stadium
171,FAU Stadium,"30,000",Boca Raton,Florida,2011,Football,Florida Atlantic Owls,https://en.wikipedia.org/wiki/FAU_Stadium
172,Benson Field at Yulman Stadium,"30,000",New Orleans,Louisiana,2014,Football,Tulane Green Wave,https://en.wikipedia.org/wiki/Benson_Field_at_Yulman_Stadium
173,Jim Wacker Field at Bobcat Stadium,"30,000",San Marcos,Texas,1981,Football,Texas State Bobcats,https://en.wikipedia.org/wiki/Bobcat_Stadium_(Texas_State)
174,New Alabama State stadium,"30,000",Montgomery,Alabama,2012,Football,Alabama State Hornets,https://en.wikipedia.org/wiki/New_Alabama_State_stadium
